question_id,subject,model,agent_type,response,correct_answer,is_correct,latency_ms,error_trace
Question_Paper_27_p35_q162,Biology,Llama 3.1 8B,DSPy Baseline,C,D,False,9060.4,
Question_Paper_27_p35_q162,Biology,Llama 3.1 8B,DSPy Optimized,C,D,False,3474.7,
Question_Paper_27_p35_q162,Biology,Gemma2 9B,DSPy Baseline,D,D,True,8248.0,
Question_Paper_27_p35_q162,Biology,Gemma2 9B,DSPy Optimized,D,D,True,2395.2,
Question_Paper_27_p35_q162,Biology,Mistral Nemo 12B,DSPy Baseline,A: IRV + ERV,D,False,8988.3,
Question_Paper_27_p35_q162,Biology,Mistral Nemo 12B,DSPy Optimized,C,D,False,4525.9,
Question_Paper_10_p41_q102,Biology,Llama 3.1 8B,DSPy Baseline,C,C,True,8295.6,
Question_Paper_10_p41_q102,Biology,Llama 3.1 8B,DSPy Optimized,C,C,True,1858.8,
Question_Paper_10_p41_q102,Biology,Gemma2 9B,DSPy Baseline,C,C,True,8772.9,
Question_Paper_10_p41_q102,Biology,Gemma2 9B,DSPy Optimized,C,C,True,1894.9,
Question_Paper_10_p41_q102,Biology,Mistral Nemo 12B,DSPy Baseline,C: Frankia,C,True,8443.1,
Question_Paper_10_p41_q102,Biology,Mistral Nemo 12B,DSPy Optimized,C,C,True,1600.2,
Question_Paper_10_p33_q81,Chemistry,Llama 3.1 8B,DSPy Baseline,D,D,True,9514.3,
Question_Paper_10_p33_q81,Chemistry,Llama 3.1 8B,DSPy Optimized,B,D,False,3019.3,
Question_Paper_10_p33_q81,Chemistry,Gemma2 9B,DSPy Baseline,D,D,True,9338.1,
Question_Paper_10_p33_q81,Chemistry,Gemma2 9B,DSPy Optimized,D,D,True,3538.0,
Question_Paper_10_p33_q81,Chemistry,Mistral Nemo 12B,DSPy Baseline,D,D,True,8162.8,
Question_Paper_10_p33_q81,Chemistry,Mistral Nemo 12B,DSPy Optimized,C,D,False,2537.2,
Question_Paper_13_p27_q69,Chemistry,Llama 3.1 8B,DSPy Baseline,A,A,True,9487.7,
Question_Paper_13_p27_q69,Chemistry,Llama 3.1 8B,DSPy Optimized,A,A,True,3071.0,
Question_Paper_13_p27_q69,Chemistry,Gemma2 9B,DSPy Baseline,A,A,True,9369.4,
Question_Paper_13_p27_q69,Chemistry,Gemma2 9B,DSPy Optimized,A,A,True,3721.7,
Question_Paper_13_p27_q69,Chemistry,Mistral Nemo 12B,DSPy Baseline,A,A,True,10766.0,
Question_Paper_13_p27_q69,Chemistry,Mistral Nemo 12B,DSPy Optimized,B,A,False,2722.2,
